Sprint終了日,Sprint,消化ポイント,累計ポイント
2023/02/15,64,8,8
2023/02/22,65,11,19
2023/03/01,66,2,21
2023/03/08,67,20,41
2023/03/15,68,0,41
2023/03/22,69,12,53
2023/03/29,70,1,54
2023/04/05,71,0,54
2023/04/12,72,4,58
2023/04/19,73,0,58
2023/04/26,74,17,75
2023/05/10,2023GW,21,96
2023/05/17,75,6,102
2023/05/24,76,7,109
2023/05/31,77,6,115
2023/06/07,78,7,122
2023/06/21,79,10,132
2023/06/28,80,4,136
2023/07/05,81,10,146
2023/07/12,82,0,146
2023/07/19,83,10,156
2023/07/26,84,0,156
2023/08/02,85,0,156
2023/08/16,86,11,167
2023/08/23,87,11,178
